label, id, name, ontology
"Chemical", "CHEMBL2108314", "Epidermal growth factor", "UNKNOWN"
"Chemical", "CHEMBL1588", "thiamine", "UNKNOWN"
"Chemical", "CHEMBL1064", "simvastatin", "UNKNOWN"
"Chemical", "CHEMBL3989727", "vitamin E", "UNKNOWN"
"Chemical", "CHEMBL196", "vitamin C", "UNKNOWN"
"Chemical", "CHEMBL1293", "beta-carotene", "UNKNOWN"
"Chemical", "CHEMBL549748", "tetrac", "UNKNOWN"
"Chemical", "CHEMBL363614", "benzofuran", "UNKNOWN"
"Chemical", "CHEMBL27", "propranolol", "UNKNOWN"
"Chemical", "CHEMBL6966", "verapamil", "UNKNOWN"
"Chemical", "CHEMBL1231871", "carbon dioxide", "UNKNOWN"
"Chemical", "CHEMBL572", "nitrofurantoin", "UNKNOWN"
"Chemical", "CHEMBL109962", "selenocysteine", "UNKNOWN"
"Chemical", "CHEMBL109", "valproic acid", "UNKNOWN"
"Chemical", "CHEMBL108", "carbamazepine", "UNKNOWN"
"Chemical", "CHEMBL1622", "folic acid", "UNKNOWN"
"Chemical", "CHEMBL592868", "estrogen", "UNKNOWN"
"Chemical", "CHEMBL192", "sildenafil", "UNKNOWN"
"Chemical", "CHEMBL1006", "amifostine", "UNKNOWN"
"Chemical", "CHEMBL11359", "cisplatin", "UNKNOWN"
"Chemical", "CHEMBL3989513", "tirilazad mesylate", "UNKNOWN"
"Chemical", "CHEMBL1630578", "tirilazad", "UNKNOWN"
"Chemical", "CHEMBL408", "Troglitazone", "UNKNOWN"
"Chemical", "CHEMBL131", "prednisolone", "UNKNOWN"
"Chemical", "CHEMBL160", "cyclosporin A", "UNKNOWN"
"Chemical", "CHEMBL975", "mesna", "UNKNOWN"
"Chemical", "CHEMBL53463", "adriamycin", "UNKNOWN"
"Chemical", "CHEMBL1024", "ifosfamide", "UNKNOWN"
"Chemical", "CHEMBL476", "dacarbazine", "UNKNOWN"
"Chemical", "CHEMBL2109128", "lenograstim", "UNKNOWN"
"Chemical", "CHEMBL11252", "distamycin A", "UNKNOWN"
"Chemical", "CHEMBL541", "benzoic acid", "UNKNOWN"
"Chemical", "CHEMBL16225", "pyrrole", "UNKNOWN"
"Chemical", "CHEMBL219568", "guanine", "UNKNOWN"
"Chemical", "CHEMBL142438", "nitrogen", "UNKNOWN"
"Chemical", "CHEMBL8085", "lysine", "UNKNOWN"
"Chemical", "CHEMBL717", "medroxyprogesterone acetate", "UNKNOWN"
"Chemical", "CHEMBL575060", "glutamic acid", "UNKNOWN"
"Chemical", "CHEMBL292268", "3-methyladenine", "UNKNOWN"
"Chemical", "CHEMBL1234848", "nitrilotriacetic acid", "UNKNOWN"
"Chemical", "CHEMBL1551", "ursodeoxycholic acid", "UNKNOWN"
"Chemical", "CHEMBL1042", "vitamin D", "UNKNOWN"
"Chemical", "CHEMBL81", "raloxifene", "UNKNOWN"
"Chemical", "CHEMBL870", "alendronate", "UNKNOWN"
"Chemical", "CHEMBL1232767", "Fluoride", "UNKNOWN"
"Chemical", "CHEMBL871", "etidronate", "UNKNOWN"
"Chemical", "CHEMBL1431", "Metformin", "UNKNOWN"
"Chemical", "CHEMBL1485", "arginine", "UNKNOWN"
"Chemical", "CHEMBL1201225", "iodine", "UNKNOWN"
"Chemical", "CHEMBL49080", "clenbuterol", "UNKNOWN"
"Chemical", "CHEMBL1201532", "thyrotropin", "UNKNOWN"
"Chemical", "CHEMBL1472", "TRH", "UNKNOWN"
"Chemical", "CHEMBL291962", "leucine", "UNKNOWN"
"Chemical", "CHEMBL1521", "sonata", "UNKNOWN"
